Feature Name,Description,Product,User Roles,Surface,Maturity,Evidence (files/routes),Notes
Notification Rules,Per-company event-to-channel routing configuration,Shared,Admin,Web,Production,"/api/admin/notifications/rules, NotificationsSettings.tsx",
Notification Templates,Customizable email/SMS templates,Shared,Admin,Web,Production,/api/admin/notifications/templates,
Notification Preferences,User opt-in/opt-out per notification category,Shared,"Admin, Office, Engineer",Web,Production,/api/admin/notifications/settings,
Notification Logs,History of all sent notifications,Shared,Admin,Web,Production,/api/admin/notifications/logs,
In-App Notifications,Recent notification inbox with unread count badge,CRM,Admin,Web,Production,"/api/admin/notifications/recent, header badge",
Failed Email Retry,Background retry of failed email sends,Shared,Admin,Web,Production,/api/internal/cron/retry-failed-emails,
CSV Import Wizard,"Multi-step import for clients, contacts, deals",CRM,Admin,Web,Production,"/admin/import, ImportWizard.tsx (Upload > Mapping > Preview > Progress)",
CSV/Data Export,"Export clients, contacts, deals as CSV",CRM,Admin,Web,Production,"/admin/export, ExportPageClient.tsx",
Soft Delete with Undo,30-second undo window on deletions,CRM,Admin,Web,Production,"/api/admin/undo-delete, undoToken.ts","Jobs, clients, invoices, quotes"
Audit Trail,"Complete event log with actor, action, metadata",Shared,Admin,Web,Production,"AuditEvent model, /api/admin/activities",
Demo Data Reset,Reset demo environment to clean state,Shared,Admin,Web,Production,/api/admin/reset-demo-data,
Task Management,"Create and track tasks with status, priority, due dates",CRM,"Admin, Office",Web,Production,"/admin/tasks, /api/tasks",
Task Comments & Mentions,Comment on tasks with @mention notifications,CRM,"Admin, Office",Web,Production,"/api/tasks/[taskId]/comments, Mention model",
Tools Hub,Catalog page listing all available tools,Tools,Admin,Web,Production,"/admin/tools, ToolCard.tsx",18+ tools
Cable Sizing Calculator,Select cable size with BS 7671 correction factors and current ratings,Tools,"Admin, Engineer",Web,Production,"/admin/tools/cable-sizing, cable-sizing/engine.ts",With tests
Voltage Drop Calculator,Calculate voltage drop to BS 7671 limits,Tools,"Admin, Engineer",Web,Production,"/admin/tools/voltage-drop, voltage-drop/engine.ts",With tests
Power Factor Correction,Calculate kVAR required and current reduction,Tools,"Admin, Engineer",Web,Production,"/admin/tools/power-factor, power-factor/engine.ts",With tests
Motor FLA Calculator,Full-load amps for 1-phase and 3-phase motors,Tools,"Admin, Engineer",Web,Production,"/admin/tools/motor-fla, motor-fla/engine.ts",With tests
Max Demand Calculator,Estimate maximum demand with diversity profiles,Tools,"Admin, Engineer",Web,Production,"/admin/tools/max-demand, max-demand/engine.ts",With tests
Fault Level Calculator,Prospective fault current using Zs method,Tools,"Admin, Engineer",Web,Production,"/admin/tools/fault-level, fault-level/engine.ts",Estimator badge; with tests
Conduit Fill Calculator,Check conduit fill percentage (BS 7671 & NEC),Tools,"Admin, Engineer",Web,Production,"/admin/tools/conduit-fill, conduit-fill/engine.ts",With tests
Conduit Bending Helper,"Calculate bend marks for offset, saddle, 90-degree bends",Tools,"Admin, Engineer",Web,Production,"/admin/tools/conduit-bending, conduit-bending/engine.ts",With tests
Residential Load Calculator,Calculate total load and suggest service size,Tools,"Admin, Engineer",Web,Production,"/admin/tools/residential-load, residential-load/engine.ts",With tests
High-Bay Lighting Planner,Mount height and spacing-to-height ratio guidance,Tools,"Admin, Engineer",Web,Production,"/admin/tools/high-bay-planner, high-bay-planner/engine.ts",With tests
Lumen Method Calculator,Calculate luminaire count using lumen method,Tools,"Admin, Engineer",Web,Production,"/admin/tools/lumen-method, lumen-method/engine.ts",With tests
UGR Calculator,Unified Glare Rating estimator,Tools,"Admin, Engineer",Web,Production,"/admin/tools/ugr-calculator, ugr-calculator/engine.ts",Estimator badge; with tests
Adiabatic CPC Sizing,Minimum CPC cross-section calculation,Tools,"Admin, Engineer",Web,Production,"/admin/tools/adiabatic, adiabatic/engine.ts",With tests
Box Fill Calculator,Junction box fill calculation,Tools,"Admin, Engineer",Web,Production,"/admin/tools/box-fill, box-fill/engine.ts",With tests
Transformer Sizing,"Calculate kVA rating, currents, protection sizing",Tools,"Admin, Engineer",Web,Production,"/admin/tools/transformer-sizing, transformer-sizing/engine.ts",With tests
Energy ROI Calculator,LED upgrade cost/savings/payback analysis,Tools,"Admin, Engineer",Web,Production,"/admin/tools/energy-roi, energy-roi/engine.ts",With tests
Live Metal Prices,Real-time copper and aluminium spot prices (GBP/kg),Tools,"Admin, Engineer",Web,Production,"/admin/tools/metal-prices, /api/tools/metal-prices","External API, hourly updates"
Tool Presets,Save and load user calculator presets,Tools,"Admin, Engineer",Web,Production,"/api/tools/presets, ToolPreset model",
RAMS Generator,"Risk Assessment & Method Statement creation with versioning, PDF export",Tools,Admin,Web,Production,"/admin/tools/rams-generator, rams-generator/pdf.ts","Templates, hazard definitions, DRAFT watermark"
Safety Assessment Tool,Structured safety checklist with sign-off and PDF export,Tools,Admin,Web,Production,"/admin/tools/safety-assessment, safety-assessment/pdf.ts","Category-based checks, overall rating"
Point Counter,"Upload drawings, click to count electrical points, export CSV",Tools,"Admin, Engineer",Web,Production,/apps/tools/app/point-counter/page.tsx,"PDF.js + Canvas, 20 point types, keyboard shortcuts, CRM quote integration"
Cable Calculator (Standalone),Cable sizing and voltage drop for single/three-phase,Tools,"Admin, Engineer",Web,Production,/apps/tools/app/cable-calculator/page.tsx,"4 cable types, BS 7671"
AI Assistant Chat,Contextual AI chat within the CRM,CRM,Admin,Web,Experimental,"/api/ai/chat, /api/ai/session, QuantractAIWidget.tsx","OpenAI integration, CustomEvent trigger"
AI Recommendations,AI-powered job analysis and pricing suggestions,CRM,Admin,Web,Experimental,"/api/admin/ai/recommendations, /api/admin/ai/apply",
AI Prompt Templates,Pre-configured prompt templates for AI assistant,CRM,Admin,Web,Experimental,/api/ai/prompts,
Weekly AI Digest,Cron-generated weekly AI insights email,CRM,Admin,Web,Experimental,/api/internal/cron/weekly-ai-digest,
Company Settings,"Account profile, company info, branding",CRM,Admin,Web,Production,"/admin/settings/account, CompanySettingsForm.tsx",
Logo Upload,Upload company logo for branding,CRM,Admin,Web,Production,/api/admin/settings/logo,
Appearance/Theme,"Dark/light mode, theme customization",CRM,Admin,Web,Production,"/admin/settings/appearance, ThemeToggle.tsx",
PDF Settings,Configure PDF generation branding,CRM,Admin,Web,Production,/admin/settings/pdf,
Financial Settings,"Break-even targets, margins, overheads",CRM,Admin,Web,Production,"/admin/settings/financial, /api/admin/settings/financials",
Legal Entity Management,Multi-entity support (trading companies/divisions),CRM,Admin,Web,Production,"/admin/settings/legal-entities, /api/admin/legal-entities",1-infinity entities by plan
Service Line Configuration,"Business division setup (Electrical, Compliance, Renewables)",CRM,Admin,Web,Production,"/admin/settings/service-lines, /api/admin/service-lines",
Entitlements Settings,View feature entitlements for current plan,CRM,Admin,Web,Production,"/admin/settings/entitlements, EntitlementsSettings.tsx",
Notification Settings,Configure notification preferences and channels,CRM,Admin,Web,Production,"/admin/settings/notifications, NotificationsSettings.tsx",
Security Settings,Security configuration,CRM,Admin,Web,Functional but rough,/admin/settings/security,
Custom Terms,Configure terms & conditions for documents,CRM,Admin,Web,Production,"/admin/settings/terms, /api/admin/settings/terms",
User Management,Manage user accounts and permissions,CRM,Admin,Web,Production,"/admin/users, /api/admin/users",
Engineer Management,Manage engineer profiles and rates,CRM,Admin,Web,Production,"/admin/engineers, EngineersPageClient.tsx",
Site Management,Registered job sites,CRM,Admin,Web,Production,/api/admin/sites,
Client Dashboard,"Home page listing quotes, invoices, certificates",CRM,Client,Web,Production,/client,
Client Documents,"All documents view (certificates, agreements, invoices)",CRM,Client,Web,Production,/client/documents,
Client Inbox,Aggregated quotes and invoices inbox,CRM,Client,Web,Production,"/api/client/inbox/invoices, /api/client/inbox/quotes",
Engineer Dashboard,Home page with assigned jobs overview,CRM,Engineer,Web,Production,/engineer,
Engineer Profile,Profile and settings management,CRM,Engineer,Web,Production,"/engineer/profile, /api/engineer/profile",
Address Autocomplete,Google Places API integration for address lookup,Shared,Admin,Web,Production,"/api/geo/autocomplete, /api/geo/details",
Support Chat,In-app support chat endpoint,Shared,Admin,Web,Functional but rough,/api/support/chat,
Marketing Homepage,"Public landing page with features, pricing, CTAs",Shared,—,Web,Production,/apps/marketing/app/,Separate Next.js app
Features Page,Feature overview for marketing,Shared,—,Web,Production,/apps/marketing/app/features/,
Pricing Page,Public pricing page,Shared,—,Web,Production,/apps/marketing/app/pricing/,
Contact Page,Contact form,Shared,—,Web,Production,/apps/marketing/app/contact/,
About Page,Company about page,Shared,—,Web,Production,/apps/marketing/app/about/,
Privacy & Terms,Legal pages,Shared,—,Web,Production,"/apps/marketing/app/privacy/, /terms/",
Service Worker,Workbox-powered SW with offline caching strategies,Shared,"Admin, Engineer, Client",Web/PWA,Production,public/sw.js,"CacheFirst fonts, StaleWhileRevalidate images, NetworkFirst APIs"
Web App Manifest,PWA manifest for add-to-homescreen,Shared,"Admin, Engineer, Client",Web/PWA,Production,public/manifest-client.webmanifest,"Standalone display, 192/512 icons"
Install PWA Button,Prompt to install as native-like app,Shared,"Admin, Engineer, Client",Web,Production,InstallPwaButton.tsx,
BullMQ Job Queue,"Redis-backed job queue for emails, PDFs, reminders",Shared,—,—,Production,"queueConfig.ts, worker.ts","3 retries, exponential backoff"
Cron Authentication,Header-based cron auth with timing-safe comparison,Shared,—,—,Production,cronAuth.ts,5-min idempotency TTL
Health Check,System health endpoint,Shared,—,—,Production,/api/health,
Debug Auth,Dev-only auth debugging,Shared,—,—,Experimental,/api/debug/auth,Dev environment only
